,trn,tst,oot
0,0.9385026737967914,0.75625,0.5589887640449438
1,0.9217801753202967,0.7825421133231241,0.5730337078651685
2,0.7325812873258128,0.699523052464229,0.5533707865168539
3,0.7102425876010782,0.700920245398773,0.5617977528089888
4,0.726552179656539,0.6913183279742765,0.550561797752809
5,0.7125748502994012,0.688783570300158,0.5561797752808989
6,0.73558648111332,0.7113237639553429,0.5898876404494382
7,0.7336919973100202,0.6979969183359014,0.5842696629213483
8,0.7261016949152542,0.7201210287443268,0.5617977528089888
9,0.72751677852349,0.6981424148606811,0.550561797752809
