bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,126.0,20.0,106.0,15.873015873015873,84.12698412698413,126.0,20.0,106.0,0.1628531878511522,29.775280898876403,29.61242771102525,0.18867924528301888
2.0,127.0,62.0,65.0,48.818897637795274,51.181102362204726,253.0,82.0,171.0,0.6676980701897239,48.03370786516854,47.366009794978815,0.47953216374269003
3.0,126.0,93.0,33.0,73.80952380952381,26.19047619047619,379.0,175.0,204.0,1.4249653936975817,57.30337078651685,55.87840539281927,0.8578431372549019
4.0,126.0,102.0,24.0,80.95238095238095,19.04761904761905,505.0,277.0,228.0,2.255516651738458,64.04494382022472,61.789427168486256,1.2149122807017543
5.0,127.0,115.0,12.0,90.55118110236221,9.448818897637793,632.0,392.0,240.0,3.1919224818825827,67.41573033707866,64.22380785519607,1.6333333333333333
6.0,126.0,114.0,12.0,90.47619047619048,9.523809523809518,758.0,506.0,252.0,4.1201856526341505,70.78651685393258,66.66633120129843,2.007936507936508
7.0,127.0,116.0,11.0,91.33858267716535,8.661417322834652,885.0,622.0,263.0,5.064734142170833,73.87640449438203,68.8116703522112,2.365019011406844
8.0,126.0,116.0,10.0,92.06349206349206,7.936507936507937,1011.0,738.0,273.0,6.009282631707515,76.68539325842697,70.67611062671945,2.7032967032967035
9.0,126.0,118.0,8.0,93.65079365079364,6.349206349206355,1137.0,856.0,281.0,6.970116440029313,78.93258426966293,71.96246782963361,3.0462633451957295
10.0,127.0,122.0,5.0,96.06299212598425,3.937007874015748,1264.0,978.0,286.0,7.9635208859213416,80.33707865168539,72.37355776576405,3.4195804195804196
11.0,126.0,119.0,7.0,94.44444444444444,5.555555555555557,1390.0,1097.0,293.0,8.932497353635698,82.30337078651685,73.37087343288115,3.744027303754266
12.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,1516.0,1219.0,297.0,9.925901799527725,83.42696629213484,73.50106449260711,4.104377104377105
13.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,1643.0,1344.0,299.0,10.943734223597428,83.98876404494382,73.04502982134639,4.494983277591973
14.0,126.0,119.0,7.0,94.44444444444444,5.555555555555557,1769.0,1463.0,306.0,11.912710691311782,85.95505617977528,74.0423454884635,4.781045751633987
15.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,1896.0,1588.0,308.0,12.930543115381484,86.51685393258427,73.58631081720279,5.1558441558441555
16.0,126.0,126.0,0.0,100.0,0.0,2022.0,1714.0,308.0,13.956518198843742,86.51685393258427,72.56033573374053,5.564935064935065
17.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2148.0,1837.0,311.0,14.95806530412833,87.35955056179775,72.40148525766942,5.906752411575563
18.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,2275.0,1962.0,313.0,15.97589772819803,87.92134831460675,71.94545058640871,6.268370607028754
19.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2401.0,2085.0,316.0,16.977444833482615,88.76404494382022,71.78660011033762,6.598101265822785
20.0,126.0,122.0,4.0,96.82539682539682,3.1746031746031775,2527.0,2207.0,320.0,17.970849279374644,89.88764044943821,71.91679117006356,6.896875
21.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2654.0,2333.0,321.0,18.996824362836904,90.1685393258427,71.1717149630058,7.26791277258567
22.0,126.0,123.0,3.0,97.61904761904762,2.3809523809523796,2780.0,2456.0,324.0,19.998371468121487,91.01123595505618,71.01286448693469,7.580246913580247
23.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,2907.0,2582.0,325.0,21.024346551583747,91.29213483146067,70.26778827987692,7.944615384615385
24.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3033.0,2706.0,327.0,22.03403631626089,91.85393258426966,69.81989626800876,8.275229357798166
25.0,126.0,126.0,0.0,100.0,0.0,3159.0,2832.0,327.0,23.060011399723148,91.85393258426966,68.7939211845465,8.660550458715596
26.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,3286.0,2957.0,329.0,24.07784382379285,92.41573033707866,68.33788651328581,8.987841945288753
27.0,126.0,126.0,0.0,100.0,0.0,3412.0,3083.0,329.0,25.10381890725511,92.41573033707866,67.31191142982354,9.370820668693009
28.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,3538.0,3208.0,330.0,26.12165133132481,92.69662921348315,66.57497788215834,9.72121212121212
29.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,3665.0,3334.0,331.0,27.14762641478707,92.97752808988764,65.82990167510057,10.072507552870091
30.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,3791.0,3458.0,333.0,28.157316179464214,93.53932584269663,65.38200966323241,10.384384384384385
31.0,126.0,126.0,0.0,100.0,0.0,3917.0,3584.0,333.0,29.18329126292647,93.53932584269663,64.35603457977015,10.762762762762764
32.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,4044.0,3710.0,334.0,30.20926634638873,93.82022471910112,63.61095837271239,11.107784431137725
33.0,126.0,126.0,0.0,100.0,0.0,4170.0,3836.0,334.0,31.23524142985099,93.82022471910112,62.58498328925013,11.48502994011976
34.0,127.0,125.0,2.0,98.4251968503937,1.5748031496062964,4297.0,3961.0,336.0,32.25307385392069,94.38202247191012,62.12894861798943,11.788690476190476
35.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4423.0,4086.0,337.0,33.27090627799039,94.66292134831461,61.39201507032422,12.124629080118694
36.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4549.0,4211.0,338.0,34.288738702060094,94.9438202247191,60.65508152265901,12.458579881656805
37.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,4676.0,4337.0,339.0,35.31471378552235,95.2247191011236,59.910005315601246,12.793510324483776
38.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,4802.0,4462.0,340.0,36.33254620959205,95.50561797752809,59.17307176793604,13.123529411764705
39.0,126.0,126.0,0.0,100.0,0.0,4928.0,4588.0,340.0,37.35852129305431,95.50561797752809,58.14709668447378,13.494117647058824
40.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5055.0,4714.0,341.0,38.38449637651657,95.78651685393258,57.40202047741601,13.824046920821115
41.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5181.0,4839.0,342.0,39.40232880058627,96.06741573033707,56.66508692975081,14.149122807017545
42.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,5308.0,4965.0,343.0,40.42830388404853,96.34831460674157,55.920010722693036,14.475218658892128
43.0,126.0,124.0,2.0,98.41269841269842,1.5873015873015817,5434.0,5089.0,345.0,41.43799364872567,96.91011235955057,55.472118710824894,14.75072463768116
44.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5560.0,5214.0,346.0,42.455826072795375,97.19101123595506,54.735185163159684,15.06936416184971
45.0,127.0,127.0,0.0,100.0,0.0,5687.0,5341.0,346.0,43.48994381565019,97.19101123595506,53.70106742030487,15.436416184971097
46.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,5813.0,5466.0,347.0,44.507776239719895,97.47191011235955,52.96413387263966,15.752161383285303
47.0,126.0,126.0,0.0,100.0,0.0,5939.0,5592.0,347.0,45.53375132318215,97.47191011235955,51.9381587891774,16.11527377521614
48.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6066.0,5718.0,348.0,46.55972640664441,97.75280898876404,51.19308258211964,16.43103448275862
49.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6192.0,5843.0,349.0,47.57755883071411,98.03370786516854,50.45614903445443,16.74212034383954
50.0,126.0,126.0,0.0,100.0,0.0,6318.0,5969.0,349.0,48.60353391417637,98.03370786516854,49.43017395099217,17.103151862464184
51.0,127.0,127.0,0.0,100.0,0.0,6445.0,6096.0,349.0,49.637651657031185,98.03370786516854,48.39605620813735,17.46704871060172
52.0,126.0,126.0,0.0,100.0,0.0,6571.0,6222.0,349.0,50.66362674049345,98.03370786516854,47.37008112467509,17.828080229226362
53.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6698.0,6348.0,350.0,51.689601823955705,98.31460674157303,46.625004917617325,18.13714285714286
54.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6824.0,6473.0,351.0,52.70743424802541,98.59550561797752,45.888071369952115,18.441595441595442
55.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6950.0,6598.0,352.0,53.72526667209511,98.87640449438203,45.15113782228692,18.744318181818183
56.0,127.0,127.0,0.0,100.0,0.0,7077.0,6725.0,352.0,54.75938441494992,98.87640449438203,44.11702007943211,19.105113636363637
57.0,126.0,126.0,0.0,100.0,0.0,7203.0,6851.0,352.0,55.785359498412184,98.87640449438203,43.091044995969845,19.463068181818183
58.0,126.0,126.0,0.0,100.0,0.0,7329.0,6977.0,352.0,56.81133458187444,98.87640449438203,42.06506991250759,19.821022727272727
59.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,7456.0,7103.0,353.0,57.8373096653367,99.15730337078652,41.319993705449825,20.121813031161473
60.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,7582.0,7228.0,354.0,58.8551420894064,99.43820224719101,40.583060157784615,20.418079096045197
61.0,127.0,127.0,0.0,100.0,0.0,7709.0,7355.0,354.0,59.88925983226122,99.43820224719101,39.5489424149298,20.77683615819209
62.0,126.0,126.0,0.0,100.0,0.0,7835.0,7481.0,354.0,60.915234915723474,99.43820224719101,38.52296733146754,21.13276836158192
63.0,126.0,126.0,0.0,100.0,0.0,7961.0,7607.0,354.0,61.94120999918574,99.43820224719101,37.49699224800528,21.48870056497175
64.0,127.0,127.0,0.0,100.0,0.0,8088.0,7734.0,354.0,62.97532774204055,99.43820224719101,36.46287450515047,21.847457627118644
65.0,126.0,126.0,0.0,100.0,0.0,8214.0,7860.0,354.0,64.0013028255028,99.43820224719101,35.43689942168821,22.203389830508474
66.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,8340.0,7985.0,355.0,65.01913524957251,99.71910112359551,34.69996587402299,22.492957746478872
67.0,127.0,127.0,0.0,100.0,0.0,8467.0,8112.0,355.0,66.05325299242733,99.71910112359551,33.665848131168175,22.850704225352114
68.0,126.0,126.0,0.0,100.0,0.0,8593.0,8238.0,355.0,67.07922807588959,99.71910112359551,32.63987304770592,23.2056338028169
69.0,127.0,127.0,0.0,100.0,0.0,8720.0,8365.0,355.0,68.1133458187444,99.71910112359551,31.6057553048511,23.56338028169014
70.0,126.0,126.0,0.0,100.0,0.0,8846.0,8491.0,355.0,69.13932090220666,99.71910112359551,30.579780221388845,23.91830985915493
71.0,126.0,126.0,0.0,100.0,0.0,8972.0,8617.0,355.0,70.16529598566892,99.71910112359551,29.553805137926588,24.27323943661972
72.0,127.0,127.0,0.0,100.0,0.0,9099.0,8744.0,355.0,71.19941372852374,99.71910112359551,28.51968739507177,24.630985915492957
73.0,126.0,126.0,0.0,100.0,0.0,9225.0,8870.0,355.0,72.225388811986,99.71910112359551,27.493712311609514,24.985915492957748
74.0,126.0,126.0,0.0,100.0,0.0,9351.0,8996.0,355.0,73.25136389544825,99.71910112359551,26.467737228147257,25.340845070422535
75.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,9478.0,9122.0,356.0,74.2773389789105,100.0,25.722661021089493,25.623595505617978
76.0,126.0,126.0,0.0,100.0,0.0,9604.0,9248.0,356.0,75.30331406237278,100.0,24.696685937627223,25.97752808988764
77.0,126.0,126.0,0.0,100.0,0.0,9730.0,9374.0,356.0,76.32928914583503,100.0,23.670710854164966,26.331460674157302
78.0,127.0,127.0,0.0,100.0,0.0,9857.0,9501.0,356.0,77.36340688868985,100.0,22.636593111310148,26.68820224719101
79.0,126.0,126.0,0.0,100.0,0.0,9983.0,9627.0,356.0,78.38938197215211,100.0,21.61061802784789,27.042134831460675
80.0,127.0,127.0,0.0,100.0,0.0,10110.0,9754.0,356.0,79.42349971500693,100.0,20.576500284993074,27.39887640449438
81.0,126.0,126.0,0.0,100.0,0.0,10236.0,9880.0,356.0,80.44947479846918,100.0,19.550525201530817,27.752808988764045
