bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
74.0,598.0,598.0,0.0,100.0,0.0,44237.0,42754.0,1483.0,73.33825068185327,100.0,26.661749318146732,28.82939986513823,593200.0,855080.0,-261880.0
75.0,598.0,598.0,0.0,100.0,0.0,44835.0,43352.0,1483.0,74.36403245450023,100.0,25.635967545499767,29.23263654753877,593200.0,867040.0,-273840.0
76.0,598.0,598.0,0.0,100.0,0.0,45433.0,43950.0,1483.0,75.3898142271472,100.0,24.6101857728528,29.635873229939314,593200.0,879000.0,-285800.0
77.0,598.0,598.0,0.0,100.0,0.0,46031.0,44548.0,1483.0,76.41559599979416,100.0,23.584404000205836,30.039109912339853,593200.0,890960.0,-297760.0
78.0,597.0,597.0,0.0,100.0,0.0,46628.0,45145.0,1483.0,77.43966241830626,100.0,22.560337581693744,30.441672285906947,593200.0,902900.0,-309700.0
79.0,598.0,598.0,0.0,100.0,0.0,47226.0,45743.0,1483.0,78.46544419095322,100.0,21.53455580904678,30.844908968307486,593200.0,914860.0,-321660.0
80.0,598.0,598.0,0.0,100.0,0.0,47824.0,46341.0,1483.0,79.49122596360019,100.0,20.508774036399814,31.248145650708025,593200.0,926820.0,-333620.0
81.0,598.0,598.0,0.0,100.0,0.0,48422.0,46939.0,1483.0,80.51700773624715,100.0,19.48299226375285,31.651382333108565,593200.0,938780.0,-345580.0
82.0,598.0,598.0,0.0,100.0,0.0,49020.0,47537.0,1483.0,81.54278950889412,100.0,18.457210491105883,32.054619015509104,593200.0,950740.0,-357540.0
83.0,597.0,597.0,0.0,100.0,0.0,49617.0,48134.0,1483.0,82.56685592740621,100.0,17.43314407259379,32.4571813890762,593200.0,962680.0,-369480.0
84.0,598.0,598.0,0.0,100.0,0.0,50215.0,48732.0,1483.0,83.59263770005317,100.0,16.407362299946826,32.86041807147674,593200.0,974640.0,-381440.0
85.0,598.0,598.0,0.0,100.0,0.0,50813.0,49330.0,1483.0,84.61841947270014,100.0,15.38158052729986,33.263654753877276,593200.0,986600.0,-393400.0
86.0,598.0,598.0,0.0,100.0,0.0,51411.0,49928.0,1483.0,85.6442012453471,100.0,14.355798754652895,33.666891436277815,593200.0,998560.0,-405360.0
87.0,598.0,598.0,0.0,100.0,0.0,52009.0,50526.0,1483.0,86.66998301799407,100.0,13.33001698200593,34.070128118678355,593200.0,1010520.0,-417320.0
88.0,597.0,597.0,0.0,100.0,0.0,52606.0,51123.0,1483.0,87.69404943650616,100.0,12.305950563493838,34.47269049224545,593200.0,1022460.0,-429260.0
89.0,598.0,598.0,0.0,100.0,0.0,53204.0,51721.0,1483.0,88.71983120915313,100.0,11.280168790846872,34.87592717464599,593200.0,1034420.0,-441220.0
90.0,598.0,598.0,0.0,100.0,0.0,53802.0,52319.0,1483.0,89.7456129818001,100.0,10.254387018199907,35.27916385704653,593200.0,1046380.0,-453180.0
91.0,598.0,598.0,0.0,100.0,0.0,54400.0,52917.0,1483.0,90.77139475444706,100.0,9.228605245552941,35.682400539447066,593200.0,1058340.0,-465140.0
92.0,598.0,598.0,0.0,100.0,0.0,54998.0,53515.0,1483.0,91.79717652709402,100.0,8.202823472905976,36.085637221847605,593200.0,1070300.0,-477100.0
93.0,597.0,597.0,0.0,100.0,0.0,55595.0,54112.0,1483.0,92.82124294560612,100.0,7.178757054393884,36.4881995954147,593200.0,1082240.0,-489040.0
94.0,598.0,598.0,0.0,100.0,0.0,56193.0,54710.0,1483.0,93.84702471825308,100.0,6.152975281746919,36.89143627781524,593200.0,1094200.0,-501000.0
95.0,598.0,598.0,0.0,100.0,0.0,56791.0,55308.0,1483.0,94.87280649090005,100.0,5.127193509099953,37.29467296021578,593200.0,1106160.0,-512960.0
96.0,598.0,598.0,0.0,100.0,0.0,57389.0,55906.0,1483.0,95.89858826354701,100.0,4.101411736452988,37.69790964261632,593200.0,1118120.0,-524920.0
97.0,598.0,598.0,0.0,100.0,0.0,57987.0,56504.0,1483.0,96.92437003619398,100.0,3.0756299638060227,38.101146325016856,593200.0,1130080.0,-536880.0
98.0,597.0,597.0,0.0,100.0,0.0,58584.0,57101.0,1483.0,97.94843645470607,100.0,2.0515635452939307,38.50370869858395,593200.0,1142020.0,-548820.0
99.0,598.0,598.0,0.0,100.0,0.0,59182.0,57699.0,1483.0,98.97421822735303,100.0,1.0257817726469654,38.90694538098449,593200.0,1153980.0,-560780.0
100.0,598.0,598.0,0.0,100.0,0.0,59780.0,58297.0,1483.0,100.0,100.0,0.0,39.31018206338503,593200.0,1165940.0,-572740.0
