,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
53,53.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,6698.0,6348.0,350.0,51.689601823955705,98.31460674157303,46.625004917617325,18.13714285714286,350.0,5933.0,6.0,6348.0,0.4971907889530743,0.5028092110469257,0.516896018239557,18.13714285714286,0.9831460674157303,0.48310398176044295,0.05225440429979098,0.09923447689254324
54,54.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6824.0,6473.0,351.0,52.70743424802541,98.59550561797752,45.888071369952115,18.441595441595442,351.0,5808.0,5.0,6473.0,0.4873783334652212,0.5126216665347788,0.5270743424802541,18.441595441595442,0.9859550561797753,0.47292565751974597,0.051436107854630715,0.0977715877437326
55,55.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,6950.0,6598.0,352.0,53.72526667209511,98.87640449438203,45.15113782228692,18.744318181818183,352.0,5683.0,4.0,6598.0,0.47756587797736805,0.522434122022632,0.5372526667209511,18.744318181818183,0.9887640449438202,0.46274733327904893,0.05064748201438849,0.0963591568573775
56,56.0,127.0,127.0,0.0,100.0,0.0,7077.0,6725.0,352.0,54.75938441494992,98.87640449438203,44.11702007943211,19.105113636363637,352.0,5556.0,4.0,6725.0,0.4675160243728733,0.5324839756271267,0.5475938441494992,19.105113636363637,0.9887640449438202,0.45240615585050076,0.04973858979793698,0.09471276738867214
57,57.0,126.0,126.0,0.0,100.0,0.0,7203.0,6851.0,352.0,55.785359498412184,98.87640449438203,43.091044995969845,19.463068181818183,352.0,5430.0,4.0,6851.0,0.45754530347392575,0.5424546965260743,0.5578535949841218,19.463068181818183,0.9887640449438202,0.4421464050158782,0.04886852700263779,0.09313401243550734
58,58.0,126.0,126.0,0.0,100.0,0.0,7329.0,6977.0,352.0,56.81133458187444,98.87640449438203,42.06506991250759,19.821022727272727,352.0,5304.0,4.0,6977.0,0.44757458257497823,0.5524254174250217,0.5681133458187444,19.821022727272727,0.9887640449438202,0.4318866541812556,0.0480283804066039,0.09160702667534157
59,59.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,7456.0,7103.0,353.0,57.8373096653367,99.15730337078652,41.319993705449825,20.121813031161473,353.0,5178.0,3.0,7103.0,0.43768299438157793,0.5623170056184221,0.578373096653367,20.121813031161473,0.9915730337078652,0.421626903346633,0.04734442060085837,0.09037378392217102
60,60.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,7582.0,7228.0,354.0,58.8551420894064,99.43820224719101,40.583060157784615,20.418079096045197,354.0,5053.0,2.0,7228.0,0.4278705388937248,0.5721294611062753,0.588551420894064,20.418079096045197,0.9943820224719101,0.411448579105936,0.04668952782906885,0.08919123204837491
61,61.0,127.0,127.0,0.0,100.0,0.0,7709.0,7355.0,354.0,59.88925983226122,99.43820224719101,39.5489424149298,20.77683615819209,354.0,4926.0,2.0,7355.0,0.41782068528923005,0.58217931471077,0.5988925983226122,20.77683615819209,0.9943820224719101,0.40110740167738784,0.04592035283434946,0.08778673279603225
62,62.0,126.0,126.0,0.0,100.0,0.0,7835.0,7481.0,354.0,60.915234915723474,99.43820224719101,38.52296733146754,21.13276836158192,354.0,4800.0,2.0,7481.0,0.4078499643902825,0.5921500356097175,0.6091523491572347,21.13276836158192,0.9943820224719101,0.39084765084276524,0.04518187619655392,0.08643633256012696
63,63.0,126.0,126.0,0.0,100.0,0.0,7961.0,7607.0,354.0,61.94120999918574,99.43820224719101,37.49699224800528,21.48870056497175,354.0,4674.0,2.0,7607.0,0.39787924349133497,0.602120756508665,0.6194120999918573,21.48870056497175,0.9943820224719101,0.38058790000814263,0.044466775530712224,0.08512684862330167
64,64.0,127.0,127.0,0.0,100.0,0.0,8088.0,7734.0,354.0,62.97532774204055,99.43820224719101,36.46287450515047,21.847457627118644,354.0,4547.0,2.0,7734.0,0.38782938988684024,0.6121706101131598,0.6297532774204055,21.847457627118644,0.9943820224719101,0.3702467225795945,0.04376854599406528,0.083846518237802
65,65.0,126.0,126.0,0.0,100.0,0.0,8214.0,7860.0,354.0,64.0013028255028,99.43820224719101,35.43689942168821,22.203389830508474,354.0,4421.0,2.0,7860.0,0.3778586689878927,0.6221413310121073,0.640013028255028,22.203389830508474,0.9943820224719101,0.3599869717449719,0.04309715120525932,0.0826137689614936
66,66.0,126.0,125.0,1.0,99.2063492063492,0.7936507936507979,8340.0,7985.0,355.0,65.01913524957251,99.71910112359551,34.69996587402299,22.492957746478872,355.0,4296.0,1.0,7985.0,0.3680462135000396,0.6319537864999605,0.6501913524957251,22.492957746478872,0.9971910112359551,0.34980864750427487,0.042565947242206234,0.08164673413063477
67,67.0,127.0,127.0,0.0,100.0,0.0,8467.0,8112.0,355.0,66.05325299242733,99.71910112359551,33.665848131168175,22.850704225352114,355.0,4169.0,1.0,8112.0,0.35799635989554485,0.6420036401044552,0.6605325299242732,22.850704225352114,0.9971910112359551,0.33946747007572675,0.04192748316995394,0.08047149495636406
68,68.0,126.0,126.0,0.0,100.0,0.0,8593.0,8238.0,355.0,67.07922807588959,99.71910112359551,32.63987304770592,23.2056338028169,355.0,4043.0,1.0,8238.0,0.3480256389965973,0.6519743610034027,0.6707922807588959,23.2056338028169,0.9971910112359551,0.32920771924110415,0.041312696380775046,0.0793384735724662
69,69.0,127.0,127.0,0.0,100.0,0.0,8720.0,8365.0,355.0,68.1133458187444,99.71910112359551,31.6057553048511,23.56338028169014,355.0,3916.0,1.0,8365.0,0.33797578539210255,0.6620242146078974,0.681133458187444,23.56338028169014,0.9971910112359551,0.31886654181255597,0.040711009174311925,0.07822829440282061
70,70.0,126.0,126.0,0.0,100.0,0.0,8846.0,8491.0,355.0,69.13932090220666,99.71910112359551,30.579780221388845,23.91830985915493,355.0,3790.0,1.0,8491.0,0.32800506449315503,0.671994935506845,0.6913932090220666,23.91830985915493,0.9971910112359551,0.3086067909779334,0.04013113271535157,0.07715713975222777
71,71.0,126.0,126.0,0.0,100.0,0.0,8972.0,8617.0,355.0,70.16529598566892,99.71910112359551,29.553805137926588,24.27323943661972,355.0,3664.0,1.0,8617.0,0.3180343435942075,0.6819656564057925,0.7016529598566892,24.27323943661972,0.9971910112359551,0.2983470401433108,0.03956754346856888,0.07611492281303603
72,72.0,127.0,127.0,0.0,100.0,0.0,9099.0,8744.0,355.0,71.19941372852374,99.71910112359551,28.51968739507177,24.630985915492957,355.0,3537.0,1.0,8744.0,0.30798448998971273,0.6920155100102873,0.7119941372852373,24.630985915492957,0.9971910112359551,0.28800586271476264,0.03901527640400044,0.0750925436277102
73,73.0,126.0,126.0,0.0,100.0,0.0,9225.0,8870.0,355.0,72.225388811986,99.71910112359551,27.493712311609514,24.985915492957748,355.0,3411.0,1.0,8870.0,0.2980137690907652,0.7019862309092347,0.7222538881198599,24.985915492957748,0.9971910112359551,0.27774611188014003,0.03848238482384824,0.07410499947813383
74,74.0,126.0,126.0,0.0,100.0,0.0,9351.0,8996.0,355.0,73.25136389544825,99.71910112359551,26.467737228147257,25.340845070422535,355.0,3285.0,1.0,8996.0,0.2880430481918177,0.7119569518081823,0.7325136389544825,25.340845070422535,0.9971910112359551,0.2674863610455175,0.03796385413324778,0.07314309261357783
75,75.0,127.0,126.0,1.0,99.21259842519684,0.7874015748031553,9478.0,9122.0,356.0,74.2773389789105,100.0,25.722661021089493,25.623595505617978,356.0,3159.0,0.0,9122.0,0.27815145999841734,0.7218485400015826,0.7427733897891051,25.623595505617978,1.0,0.2572266102108949,0.037560666807343324,0.07240187105958919
76,76.0,126.0,126.0,0.0,100.0,0.0,9604.0,9248.0,356.0,75.30331406237278,100.0,24.696685937627223,25.97752808988764,356.0,3033.0,0.0,9248.0,0.2681807390994698,0.7318192609005302,0.7530331406237277,25.97752808988764,1.0,0.2469668593762723,0.037067888379841735,0.07148594377510041
77,77.0,126.0,126.0,0.0,100.0,0.0,9730.0,9374.0,356.0,76.32928914583503,100.0,23.670710854164966,26.331460674157302,356.0,2907.0,0.0,9374.0,0.25821001820052225,0.7417899817994777,0.7632928914583503,26.331460674157302,1.0,0.2367071085416497,0.03658787255909558,0.07059290105096173
78,78.0,127.0,127.0,0.0,100.0,0.0,9857.0,9501.0,356.0,77.36340688868985,100.0,22.636593111310148,26.68820224719101,356.0,2780.0,0.0,9501.0,0.24816016459602755,0.7518398354039725,0.7736340688868985,26.68820224719101,1.0,0.22636593111310155,0.0361164654560211,0.06971506902966808
79,79.0,126.0,126.0,0.0,100.0,0.0,9983.0,9627.0,356.0,78.38938197215211,100.0,21.61061802784789,27.042134831460675,356.0,2654.0,0.0,9627.0,0.23818944369708,0.76181055630292,0.7838938197215211,27.042134831460675,1.0,0.21610618027847894,0.03566062305920064,0.06886546087629364
80,80.0,127.0,127.0,0.0,100.0,0.0,10110.0,9754.0,356.0,79.42349971500693,100.0,20.576500284993074,27.39887640449438,356.0,2527.0,0.0,9754.0,0.22813959009258528,0.7718604099074148,0.7942349971500692,27.39887640449438,1.0,0.2057650028499308,0.035212660731948564,0.06802981081597555
81,81.0,126.0,126.0,0.0,100.0,0.0,10236.0,9880.0,356.0,80.44947479846918,100.0,19.550525201530817,27.752808988764045,356.0,2401.0,0.0,9880.0,0.21816886919363773,0.7818311308063622,0.8044947479846918,27.752808988764045,1.0,0.1955052520153082,0.03477921062915201,0.06722054380664652
82,82.0,126.0,126.0,0.0,100.0,0.0,10362.0,10006.0,356.0,81.47544988193144,100.0,18.52455011806856,28.10674157303371,356.0,2275.0,0.0,10006.0,0.2081981482946902,0.7918018517053098,0.8147544988193144,28.10674157303371,1.0,0.1852455011806856,0.034356301872225437,0.0664303041612241
